warehouse_name,sku_id,order_date,user_id,min,max,price_diff
India,0282337,2023-09-05,c1a7895,163.8,315.6,151.8
India,030c4f4,2023-09-01,d99ddb8,389.79,779.58,389.79
India,060e232,2023-10-10,b9e9f55,88.08,352.32,264.24
India,060e232,2023-10-20,a1de9f4,88.08,352.32,264.24
India,0934276,2022-10-06,d696a92,383.6,390.92,7.319999999999993
India,0c2ef6f,2023-09-15,2c6933c,132.66,265.32,132.66
India,0eeddec,2023-10-17,86b6a8b,323.40000000000003,970.2,646.8
India,0f22894,2022-09-03,2eea227,669.6,4017.6000000000004,3348.0000000000005
India,0f22894,2022-09-17,1d3baf5,669.6,4017.6,3348.0
India,0f22894,2022-09-20,62e6a37,669.6,4017.6000000000004,3348.0000000000005
India,0f22894,2022-09-23,04ef5c6,669.6,4017.6000000000004,3348.0000000000005
India,0f22894,2022-09-23,d696a92,669.6,4017.6000000000004,3348.0000000000005
India,12062d8,2023-09-24,5d9379f,290.46,1161.84,871.3799999999999
India,1b8e316,2023-11-17,86b6a8b,311.52,1869.12,1557.6
India,2080232,2023-10-28,d0219b2,399.0,2394.0,1995.0
India,2128ae0,2023-09-29,7ce675b,346.86,1387.44,1040.58
India,2141a7c,2023-09-19,4da2aa9,1238.94,3716.82,2477.88
India,217c85f,2023-11-03,5f46d16,376.06,752.12,376.06
India,23db20f,2023-09-18,2cb97a1,492.16,984.32,492.16
India,2856c75,2023-09-01,4c5b442,648.1,1296.2,648.1
India,2856c75,2023-11-04,5e39835,648.1,1296.2,648.1
India,293e74f,2022-10-04,356e791,279.71999999999997,6713.28,6433.5599999999995
India,2a975cd,2022-10-09,ace8192,259.5,2595.0,2335.5
India,2c599d7,2023-09-05,a04f866,358.0,716.0,358.0
India,2c599d7,2023-09-30,3635417,372.58,745.16,372.58
India,2d3ccce,2023-11-16,7417b20,229.5,918.0,688.5
India,30c4ba6,2023-11-19,eb65160,210.0,420.0,210.0
India,32c9741,2023-11-22,b4e42c4,3927.4800000000005,3927.480000000001,4.547473508864641e-13
India,341db98,2022-09-05,ca2a9e3,116.66,118.92,2.260000000000005
India,37f0b36,2023-11-17,86b6a8b,372.57,1490.28,1117.71
India,39d9285,2023-09-29,059a915,223.3,446.59999999999997,223.29999999999995
India,3f578f2,2022-10-06,d696a92,1827.8,1980.0,152.20000000000005
India,47277ee,2022-10-07,0b70041,358.17,2811.84,2453.67
India,47277ee,2022-10-09,01be615,351.48,2811.84,2460.36
India,4a71629,2022-09-29,ca2a9e3,51.76,51.760000000000005,7.105427357601002e-15
India,4d114e3,2023-09-19,7c6138c,97.56,1170.72,1073.16
India,5298282,2023-09-24,d778268,120.96,483.84,362.88
India,53010d8,2022-10-23,2c4788d,397.44,4769.28,4371.84
India,54395c9,2023-09-17,7000aff,88.05,176.1,88.05
India,5778589,2022-11-06,ace8192,376.34,4516.08,4139.74
India,58dd10a,2022-09-10,3800355,187.2,6739.2,6552.0
India,5a81d31,2022-11-21,c255611,328.26,1313.04,984.78
India,5aa375c,2023-11-22,ae0e764,700.3000000000001,2100.9,1400.6
India,5b75713,2023-09-19,059b7e1,75.6,151.2,75.6
India,604362f,2022-10-10,ca2a9e3,276.06,3792.6,3516.54
India,62b911e,2023-09-04,ae7b835,576.0,3456.0,2880.0
India,62b911e,2023-09-06,bc408bb,576.0,3456.0,2880.0
India,62e2686,2022-09-06,9af446e,190.8,1717.2,1526.4
India,6513cc6,2023-09-15,85aa89a,135.0,540.0,405.0
India,65bfed0,2023-09-29,950dc93,243.0,486.0,243.0
India,683445d,2023-11-08,93965d3,936.6,1873.2,936.6
India,6fd34e4,2022-09-26,807fb01,378.0,1855.0,1477.0
India,73780de,2023-10-17,30ae7b9,413.7000000000001,827.4000000000001,413.7
India,77f1261,2022-09-27,d99ddb8,309.84999999999997,5577.3,5267.45
India,77f1261,2022-11-01,3b2ccbb,318.7,371.58,52.879999999999995
India,788acdd,2023-09-18,c1a7895,609.5999999999999,2438.4,1828.8000000000002
India,790b8dc,2022-09-29,ca2a9e3,35.64,36.160000000000004,0.5200000000000031
India,7a0218b,2023-09-04,9c193a0,504.7,4542.3,4037.6000000000004
India,7c54778,2022-11-03,42008f1,547.66,1642.9800000000002,1095.3200000000002
India,7d3cf20,2022-10-26,faf1018,370.5,3334.5,2964.0
India,8542e11,2023-09-19,7ad4526,1416.5999999999997,1416.6,2.2737367544323206e-13
India,893d0ab,2023-09-16,f2dfdb5,159.0,318.0,159.0
India,8ae2033,2023-09-05,c1a7895,163.8,315.59999999999997,151.79999999999995
India,8ae416a,2023-11-07,32fd885,452.1,1808.4,1356.3000000000002
